Protein id,number in CRISPR array,Number in genome sequences,Co-occurance,BLASTp derived description,
3609|*|gene_341713|GeneMark.hmm|1174_aa|+|16342|19866,295,520,0.567307692,Cas13b,
6471|*|gene_14100|GeneMark.hmm|1006_aa|+|7139|10159,54,96,0.5625,Cas10d,
7153|*|gene_31192|GeneMark.hmm|974_aa|+|8631|11555,29,52,0.557692308,Unknown,
13539|*|gene_3871944|GeneMark.hmm|794_aa|+|51533|53917,445,804,0.553482587,RAMP protein,
6141|*|gene_20297|GeneMark.hmm|1022_aa|+|6017|9085,135,245,0.551020408,Cas10,
12965|*|gene_1163500|GeneMark.hmm|806_aa|+|26402|28822,133,242,0.549586777,RAMP protein,
11700|*|gene_3709427|GeneMark.hmm|833_aa|-|1288|3789,1363,2486,0.548270314,CRISPR associated protein,
4916|*|gene_2529525|GeneMark.hmm|1085_aa|+|2807|6064,1304,2388,0.546063652,CRISPR associated protein,
4242|*|gene_4089989|GeneMark.hmm|1127_aa|+|4468|7851,383,702,0.545584046,Cas13b,
11636|*|gene_3885615|GeneMark.hmm|835_aa|+|9055|11562,357,661,0.540090772,RAMP protein,
5549|*|gene_19568|GeneMark.hmm|1049_aa|+|8387|11536,120,223,0.538116592,Cas10d,
5148|*|gene_28703|GeneMark.hmm|1070_aa|+|35579|38791,62,116,0.534482759,Cas10d,
4495|*|gene_2315252|GeneMark.hmm|1109_aa|+|7008|10337,368,699,0.526466381,Cas13b,
3913|*|gene_2313553|GeneMark.hmm|1150_aa|-|2029|5481,348,665,0.523308271,Cas13b,
5202|*|gene_32327|GeneMark.hmm|1068_aa|-|26990|30196,290,560,0.517857143,Type III -Cas10,
12115|*|gene_2601894|GeneMark.hmm|824_aa|+|2588|5062,40,78,0.512820513,WYL domaining containing protein,
6620|*|gene_2324818|GeneMark.hmm|1000_aa|-|14238|17240,388,759,0.511198946,Cas13b,
3515|*|gene_2446024|GeneMark.hmm|1182_aa|+|4224|7772,339,668,0.50748503,Cas13b,
8287|*|gene_11685|GeneMark.hmm|928_aa|-|1040|3826,156,310,0.503225806,Cmr2,
7392|*|gene_4801|GeneMark.hmm|964_aa|-|190528|193422,242,482,0.502074689,Cas10,
6598|*|gene_38110|GeneMark.hmm|999_aa|-|564|3563,2,4,0.5,Unknown,
11823|*|gene_30131|GeneMark.hmm|829_aa|+|7632|10121,2,4,0.5,Unknown,
5318|*|gene_31518|GeneMark.hmm|1061_aa|+|12037|15222,262,526,0.498098859,Cas10,
4283|*|gene_2403057|GeneMark.hmm|1124_aa|-|1175|4549,384,775,0.495483871,Cas13b,
3452|*|gene_4868766|GeneMark.hmm|1189_aa|-|12434|16003,459,927,0.495145631,Cas13b,
3662|*|gene_2728028|GeneMark.hmm|1171_aa|+|6487|10002,389,789,0.493029151,Cas13b,
9545|*|gene_17611|GeneMark.hmm|887_aa|-|10127|12790,192,391,0.491048593,Cas3,
13273|*|gene_36692|GeneMark.hmm|799_aa|+|10623|13022,26,53,0.490566038,cas10d (NCBI domain prediciton),
3513|*|gene_23106|GeneMark.hmm|1181_aa|+|9037|12582,269,555,0.484684685,cas10d,
14952|*|gene_28652|GeneMark.hmm|766_aa|+|12571|14871,44,91,0.483516484,Unknown (Caldesmon domaining containing protein),
8102|*|gene_24824|GeneMark.hmm|935_aa|-|22520|25327,254,526,0.482889734,Cmr2,
14729|*|gene_4014798|GeneMark.hmm|771_aa|-|8207|10522,353,733,0.481582538,CRISPR RAMP,
3097|*|gene_359127|GeneMark.hmm|1221_aa|+|12530|16195,602,1263,0.476642914,CRISPR RAMP,
6511|*|gene_1163660|GeneMark.hmm|1005_aa|-|11221|14238,285,600,0.475,Unknown,
4668|*|gene_1173992|GeneMark.hmm|1099_aa|-|23884|27183,346,742,0.466307278,Unknown,
9314|*|gene_21686|GeneMark.hmm|894_aa|+|7979|10663,41,88,0.465909091,Unknown (DUF3552 containing),
12219|*|gene_3951504|GeneMark.hmm|822_aa|-|7511|9979,162,353,0.458923513,CRISPR RAMP,
7365|*|gene_25692|GeneMark.hmm|965_aa|-|30486|33383,29,64,0.453125,HD domain containing protein,
2202|*|gene_591070|GeneMark.hmm|1332_aa|+|14026|18024,399,890,0.448314607,Cas13b,
3181|*|gene_2549286|GeneMark.hmm|1214_aa|-|1570|5214,1406,3170,0.443533123,CRISPR associated protein,
3551|*|gene_4442420|GeneMark.hmm|1179_aa|-|293|3832,329,746,0.441018767,CRISPR RAMP,
5276|*|gene_21614|GeneMark.hmm|1063_aa|+|12482|15673,363,828,0.438405797,Cas10,
7413|*|gene_24601|GeneMark.hmm|963_aa|-|6037|8928,292,677,0.431314623,Cmr2,
8025|*|gene_48756|GeneMark.hmm|938_aa|-|16248|19064,921,2181,0.422283356,Cas10,
15647|*|gene_1531192|GeneMark.hmm|755_aa|+|31476|33743,896,2132,0.420262664,csm3/csf2,
15754|*|gene_4645146|GeneMark.hmm|753_aa|+|15778|18039,26,62,0.419354839,CRISPR RAMP ,
15276|*|gene_8807|GeneMark.hmm|761_aa|+|41797|44082,2431,5819,0.417769376,CRISPR RAMP,
5173|*|gene_35956|GeneMark.hmm|1069_aa|+|24427|27636,192,461,0.4164859,Cmr2,
8251|*|gene_9232|GeneMark.hmm|929_aa|+|4765|7554,175,425,0.411764706,Cmr2,
7087|*|gene_27574|GeneMark.hmm|978_aa|-|10408|13344,189,461,0.409978308,Cmr2,
4853|*|gene_12807|GeneMark.hmm|1088_aa|+|10173|13439,11,27,0.407407407,carboxypeptidase?,
2860|*|gene_24685|GeneMark.hmm|1243_aa|-|6369|10100,318,781,0.407170294,CRISPR associated protein,
7856|*|gene_25591|GeneMark.hmm|944_aa|-|33827|36661,851,2105,0.404275534,Cmr2,
10784|*|gene_40674|GeneMark.hmm|854_aa|+|3462|6026,4,10,0.4,unknown-secretin N terminal dom (from archaea),
8945|*|gene_17615|GeneMark.hmm|906_aa|-|15399|18119,98,245,0.4,Cas10d,
4605|*|gene_18212|GeneMark.hmm|1101_aa|-|23840|27145,305,767,0.397653194,Cas10d,
9321|*|gene_4161326|GeneMark.hmm|895_aa|-|434|3121,86,217,0.396313364,unknown - membrane protein,
8530|*|gene_46866|GeneMark.hmm|920_aa|-|14199|16961,840,2125,0.395294118,Cmr2,
6154|*|gene_2231111|GeneMark.hmm|1023_aa|+|15761|18832,445,1141,0.390008764,Cas13d,
13254|*|gene_4268074|GeneMark.hmm|800_aa|-|5332|7734,305,808,0.377475248,Cas3,
13499|*|gene_666677|GeneMark.hmm|795_aa|-|24858|27245,1278,3389,0.37710239,CRISPR RAMP,
4653|*|gene_48822|GeneMark.hmm|1098_aa|+|6873|10169,622,1652,0.376513317,Cas10,
12456|*|gene_3154286|GeneMark.hmm|816_aa|+|9175|11625,606,1610,0.376397516,WYL-domain containing protein,
2798|*|gene_4341200|GeneMark.hmm|1253_aa|-|26219|29980,3241,8807,0.368002725,Glyco hydrolase,
8532|*|gene_47110|GeneMark.hmm|920_aa|+|12258|15020,69,188,0.367021277,CRISPR Csc3,
7893|*|gene_49148|GeneMark.hmm|943_aa|+|5294|8125,645,1763,0.365853659,Cas10,
15731|*|gene_4037|GeneMark.hmm|752_aa|+|1222|3480,92,252,0.365079365,CRISPR csh1,
14471|*|gene_1323325|GeneMark.hmm|776_aa|+|11115|13445,1172,3250,0.360615385,CRISPR RAMP,
2097|*|gene_988|GeneMark.hmm|1339_aa|-|60564|64583,36,101,0.356435644,Unknown,
15798|*|gene_1287475|GeneMark.hmm|752_aa|-|6003|8261,400,1135,0.352422907,CRISPR RAMP,
4471|*|gene_28990|GeneMark.hmm|1109_aa|+|4068|7397,411,1181,0.348010161,Cmr2,
14856|*|gene_3232750|GeneMark.hmm|769_aa|-|2961|5270,2381,6929,0.343628229,VirE (could be transposon?),
15878|*|gene_3652076|GeneMark.hmm|751_aa|-|8373|10628,379,1107,0.342366757,Chromosome segregation ATPase,
1232|*|gene_14748|GeneMark.hmm|1508_aa|-|57739|62265,37,109,0.339449541,AAA domain protein (NCBI domain prediction),
1940|*|gene_3222693|GeneMark.hmm|1361_aa|+|21990|26075,1880,5559,0.338190322,CRISPR RAMP,
6104|*|gene_19522|GeneMark.hmm|1024_aa|-|30957|34031,577,1712,0.33703271,Cmr2,
10738|*|gene_3608|GeneMark.hmm|854_aa|-|1283|3847,5,15,0.333333333,phage head morphogenesis protein,
7638|*|gene_2478616|GeneMark.hmm|955_aa|+|3256|6123,462,1388,0.332853026,Cas13d,
9574|*|gene_1796754|GeneMark.hmm|888_aa|+|10748|13414,81,244,0.331967213,tetratricopeptide repeat protein,
5062|*|gene_17782|GeneMark.hmm|1075_aa|-|26251|29478,72,226,0.318584071,Csm6 (NC domain prediction),
7874|*|gene_3382388|GeneMark.hmm|945_aa|+|513|3350,54,171,0.315789474,Unknown,
1872|*|gene_1594886|GeneMark.hmm|1372_aa|+|13798|17916,442,1407,0.314143568,Cas9,
13371|*|gene_953586|GeneMark.hmm|798_aa|+|14453|16849,242,771,0.31387808,RAMP_protein,
3091|*|gene_1913035|GeneMark.hmm|1221_aa|-|20703|24368,46,152,0.302631579,Cas13a,
8461|*|gene_35643|GeneMark.hmm|922_aa|+|6645|9413,6,20,0.3,NACHT domain containing protein,
15192|*|gene_10365|GeneMark.hmm|762_aa|-|95062|97350,101,343,0.294460641,Csb2,
7111|*|gene_61948|GeneMark.hmm|978_aa|+|26485|29421,5,17,0.294117647,ATPase AAA protein,
4650|*|gene_12310|GeneMark.hmm|1098_aa|+|24767|28063,45,153,0.294117647,Unknown,
3523|*|gene_1662258|GeneMark.hmm|1181_aa|-|16272|19817,67,228,0.293859649,Cas13a,
1357|*|gene_814817|GeneMark.hmm|1474_aa|-|22526|26950,432,1476,0.292682927,Cas9 - f. novicida subclade,
1641|*|gene_2674578|GeneMark.hmm|1413_aa|+|1211|5452,487,1676,0.290572792,Cas9,
14788|*|gene_2689990|GeneMark.hmm|770_aa|+|3084|5396,787,2731,0.28817283,CorA transporter,
4152|*|gene_3218661|GeneMark.hmm|1133_aa|-|21623|25024,4,14,0.285714286,Unknown,
13501|*|gene_441099|GeneMark.hmm|795_aa|+|7105|9492,734,2586,0.28383604,Inner Centromere,
1493|*|gene_2393158|GeneMark.hmm|1443_aa|-|5187|9518,469,1667,0.281343731,Cas9,
6678|*|gene_18979|GeneMark.hmm|996_aa|-|12776|15766,92,329,0.279635258,Csx11,
8955|*|gene_9408|GeneMark.hmm|906_aa|+|2168|4888,24,86,0.279069767,Csc3,
2363|*|gene_3454426|GeneMark.hmm|1312_aa|-|12031|15969,5,18,0.277777778,Chromosome segregation ATPase,
1660|*|gene_987988|GeneMark.hmm|1409_aa|+|13703|17932,430,1565,0.274760383,Cas9 legionella,
13760|*|gene_2477457|GeneMark.hmm|790_aa|-|762|3134,1465,5406,0.270995191,CRISPR RAMP,
6957|*|gene_17138|GeneMark.hmm|984_aa|+|18224|21178,140,520,0.269230769,Csb2,
11858|*|gene_28254|GeneMark.hmm|828_aa|-|29904|32390,25,93,0.268817204,Csc3,
4521|*|gene_1784274|GeneMark.hmm|1108_aa|-|23264|26590,47,175,0.268571429,c2c1 (type V-B),
13415|*|gene_24319|GeneMark.hmm|796_aa|-|25043|27433,80,302,0.264900662,unknown,
897|*|gene_1727612|GeneMark.hmm|1646_aa|-|23594|28534,519,1973,0.263051191,fncas9,
11922|*|gene_4337560|GeneMark.hmm|828_aa|+|12062|14548,251,970,0.258762887,unknown,
7199|*|gene_36461|GeneMark.hmm|972_aa|-|29875|32793,81,314,0.257961783,unknown,
11013|*|gene_953771|GeneMark.hmm|848_aa|+|22156|24702,216,840,0.257142857,TRA1 protein,
1531|*|gene_2465976|GeneMark.hmm|1435_aa|-|2617|6924,484,1909,0.253535883,Cas9,
7405|*|gene_13809|GeneMark.hmm|963_aa|+|2662|5553,139,555,0.25045045,Csx11,
3407|*|gene_4142254|GeneMark.hmm|1192_aa|-|264|3842,4,16,0.25,CasY,
9526|*|gene_60019|GeneMark.hmm|889_aa|+|7812|10481,38,153,0.248366013,Cas10,
13173|*|gene_4628299|GeneMark.hmm|802_aa|+|24810|27218,65,262,0.248091603,Cas3,
1631|*|gene_3099070|GeneMark.hmm|1415_aa|+|20350|24597,495,2005,0.246882793,Cas9,
3490|*|gene_4015704|GeneMark.hmm|1184_aa|+|2092|5646,66,270,0.244444444,Cas13a,
14288|*|gene_833485|GeneMark.hmm|779_aa|-|3157|5496,698,2871,0.243120864,WD domain protein,
11013|*|gene_10855|GeneMark.hmm|847_aa|-|7187|9730,25,103,0.242718447,Csc3,
7399|*|gene_22407|GeneMark.hmm|964_aa|-|25044|27938,13,54,0.240740741,Cas10d (CD search),
3055|*|gene_27478|GeneMark.hmm|1223_aa|-|13186|16857,178,745,0.238926174,Csx11,
13639|*|gene_34871|GeneMark.hmm|791_aa|+|12359|14734,177,746,0.237265416,Csx17,
5893|*|gene_4287307|GeneMark.hmm|1034_aa|+|1|3105,11,47,0.234042553,Unknown - csn2 relative?,
13190|*|gene_16085|GeneMark.hmm|800_aa|+|22116|24518,183,784,0.233418367,Csx17,
12184|*|gene_3156448|GeneMark.hmm|822_aa|+|2574|5042,468,2072,0.225868726,Cas10 (CD-search),
13917|*|gene_14291|GeneMark.hmm|785_aa|-|2942|5299,284,1270,0.223622047,Csx17,
8700|*|gene_39556|GeneMark.hmm|914_aa|+|37149|39893,45,204,0.220588235,ATP-GTP binding protein,
5854|*|gene_20726|GeneMark.hmm|1034_aa|+|9861|12965,68,310,0.219354839,Cas10d,
12879|*|gene_47154|GeneMark.hmm|806_aa|-|14905|17325,184,839,0.219308701,Csx17,
3510|*|gene_47350|GeneMark.hmm|1181_aa|-|14182|17727,175,801,0.218476904,Csx11,
3062|*|gene_27920|GeneMark.hmm|1223_aa|-|26956|30627,161,737,0.218453189,Csx11,
6042|*|gene_48300|GeneMark.hmm|1027_aa|+|16171|19254,162,742,0.218328841,Csx11,
12118|*|gene_41690|GeneMark.hmm|823_aa|-|27747|30218,28,129,0.217054264,HD domain protein,
2070|*|gene_2478454|GeneMark.hmm|1345_aa|-|15|4052,191,880,0.217045455,Cas13a,
13955|*|gene_1495257|GeneMark.hmm|786_aa|+|13431|15791,13,60,0.216666667,CRISPR-associated protein,
12877|*|gene_23280|GeneMark.hmm|806_aa|+|12670|15090,291,1355,0.214760148,csx17,
12668|*|gene_2271012|GeneMark.hmm|812_aa|+|1781|4219,3,14,0.214285714,Unknown,
1788|*|gene_3877341|GeneMark.hmm|1385_aa|+|10186|14343,201,939,0.214057508,Cas13a,
7027|*|gene_20853|GeneMark.hmm|980_aa|+|28096|31038,171,806,0.212158809,Csx11,
5521|*|gene_13644|GeneMark.hmm|1050_aa|+|6701|9853,147,694,0.211815562,Csx11,
1762|*|gene_4126387|GeneMark.hmm|1388_aa|+|19293|23459,36,170,0.211764706,Type V-B effector,
3543|*|gene_8973|GeneMark.hmm|1179_aa|-|41605|45144,5000,24034,0.208038612,Cas1,
2082|*|gene_4359307|GeneMark.hmm|1343_aa|+|6904|10935,199,958,0.207724426,Cas13a,
2731|*|gene_2435677|GeneMark.hmm|1262_aa|-|4002|7790,54,260,0.207692308,Cas13a,
8288|*|gene_33031|GeneMark.hmm|928_aa|-|9031|11817,165,800,0.20625,Csx11,
4881|*|gene_11096|GeneMark.hmm|1086_aa|+|1893|5153,68,330,0.206060606,Csc3,
2639|*|gene_2724169|GeneMark.hmm|1276_aa|+|5660|9490,188,919,0.204570185,Cas13a,
6488|*|gene_25147|GeneMark.hmm|1005_aa|-|13989|17006,176,861,0.204413473,Csx11,
15867|*|gene_4821962|GeneMark.hmm|751_aa|+|159|2414,2,10,0.2,AAA domain protein,
7516|*|gene_2202236|GeneMark.hmm|959_aa|-|2411|5290,8,40,0.2,peptidase,
1612|*|gene_2754097|GeneMark.hmm|1418_aa|-|157|4413,187,940,0.19893617,Cas13a,
5199|*|gene_24822|GeneMark.hmm|1068_aa|-|26487|29693,185,933,0.198285102,Csx11,
4617|*|gene_30228|GeneMark.hmm|1100_aa|-|12131|15433,162,821,0.197320341,Csx11,
2359|*|gene_46551|GeneMark.hmm|1311_aa|+|17293|21228,9,46,0.195652174,Glycotransferase,
4624|*|gene_21746|GeneMark.hmm|1100_aa|+|4813|8115,143,739,0.193504736,Csx11,
5825|*|gene_23136|GeneMark.hmm|1036_aa|+|6061|9171,139,721,0.192787795,Csx11,
5992|*|gene_13108|GeneMark.hmm|1029_aa|+|11839|14928,158,832,0.189903846,Csx11,
12430|*|gene_2426297|GeneMark.hmm|817_aa|-|4509|6962,250,1327,0.188394876,CRISPR associated protein,
5571|*|gene_2777739|GeneMark.hmm|1049_aa|+|12354|15503,6,32,0.1875,Yjbl,
7995|*|gene_31809|GeneMark.hmm|939_aa|+|11369|14188,3,16,0.1875,Unknown,
6966|*|gene_28056|GeneMark.hmm|983_aa|-|30986|33937,141,761,0.185282523,Csx11,
14137|*|gene_3958055|GeneMark.hmm|782_aa|+|9825|12173,239,1306,0.183001531,CRISPR RAMP,
15793|*|gene_3160116|GeneMark.hmm|752_aa|-|21917|24175,279,1531,0.182233834,CRISPR RAMP,
2121|*|gene_37902|GeneMark.hmm|1337_aa|-|4271|8284,2,11,0.181818182,SAVED-domaining containing protein,
6494|*|gene_31140|GeneMark.hmm|1004_aa|-|21791|24805,2,11,0.181818182,Unknown,
14919|*|gene_27880|GeneMark.hmm|767_aa|-|11863|14166,191,1051,0.181731684,Csx17,
5324|*|gene_32532|GeneMark.hmm|1060_aa|-|27440|30622,5,28,0.178571429,Unknown,
10660|*|gene_44813|GeneMark.hmm|856_aa|+|17698|20268,53,300,0.176666667,Cas10d,
10492|*|gene_34972|GeneMark.hmm|860_aa|+|11451|14033,12,68,0.176470588,Unknown (suspect Cas10d),
12808|*|gene_12624|GeneMark.hmm|808_aa|-|75499|77925,190,1081,0.175763182,Csx17,
10955|*|gene_28811|GeneMark.hmm|849_aa|-|11035|13584,129,742,0.173854447,Unknown,
12530|*|gene_34815|GeneMark.hmm|814_aa|+|12698|15142,195,1141,0.170902717,Csx17,
12364|*|gene_17996|GeneMark.hmm|817_aa|-|27447|29900,189,1108,0.170577617,Csx17,
5255|*|gene_1208547|GeneMark.hmm|1066_aa|-|23835|27035,142,834,0.170263789,DNA primase,
15660|*|gene_16278|GeneMark.hmm|753_aa|+|34181|36442,196,1168,0.167808219,Csx17,
4758|*|gene_2742606|GeneMark.hmm|1094_aa|-|1|3282,3,18,0.166666667,Unknown-ribonuclease domain,
3870|*|gene_1861510|GeneMark.hmm|1154_aa|-|20645|24109,5,30,0.166666667,Unknown,
2836|*|gene_1567021|GeneMark.hmm|1247_aa|-|11705|15448,6,37,0.162162162,Unknown,
1975|*|gene_4012059|GeneMark.hmm|1356_aa|+|482|4552,36,225,0.16,Type V-B effector,
6798|*|gene_7575|GeneMark.hmm|990_aa|+|108468|111440,53,333,0.159159159,Unknown - RNA binding domain !!,
13393|*|gene_2345931|GeneMark.hmm|798_aa|-|3435|5831,232,1487,0.15601883,CRISPR RAMP protein,
12042|*|gene_3793539|GeneMark.hmm|826_aa|-|2485|4965,22,142,0.154929577,Sel1 repeat family protein,
12529|*|gene_501208|GeneMark.hmm|815_aa|+|14503|16950,54,353,0.152974504,Unknown,
13128|*|gene_57679|GeneMark.hmm|803_aa|+|5188|7599,15,100,0.15,ATP-binding protein,
8097|*|gene_48342|GeneMark.hmm|935_aa|+|4959|7766,7,48,0.145833333,PBS lyase,
5544|*|gene_2723262|GeneMark.hmm|1050_aa|-|9726|12878,12,83,0.144578313,viral A-type inclusion protein,
644|*|gene_2431082|GeneMark.hmm|1794_aa|+|1622|7006,34,246,0.138211382,Unknown (no hits),
8386|*|gene_4003301|GeneMark.hmm|926_aa|+|21310|24090,2,15,0.133333333,Unknown,
11461|*|gene_894085|GeneMark.hmm|838_aa|-|23735|26251,51,383,0.133159269,Unknown,
6431|*|gene_1991565|GeneMark.hmm|1009_aa|-|12815|15844,122,935,0.130481283,DNA primase,
13000|*|gene_43379|GeneMark.hmm|804_aa|-|2430|4844,5000,38879,0.128604131,Cas7,
2078|*|gene_426|GeneMark.hmm|1342_aa|+|105930|109958,187,1504,0.124335106,pilin related protein,
9220|*|gene_212558|GeneMark.hmm|898_aa|+|21127|23823,3,25,0.12,secretion pathway protein,
12336|*|gene_39217|GeneMark.hmm|818_aa|+|2799|5255,73,624,0.116987179,phospholipase,
8224|*|gene_1162088|GeneMark.hmm|932_aa|+|21930|24728,116,992,0.116935484,DNA primase,
7283|*|gene_772550|GeneMark.hmm|970_aa|+|10706|13618,419,3590,0.116713092,CRISPR RAMP,
4216|*|gene_1393511|GeneMark.hmm|1128_aa|-|12612|15998,144,1245,0.115662651,DNA primase,
4221|*|gene_5618|GeneMark.hmm|1127_aa|-|35587|38970,410,3603,0.113794061,ATP-dep helicase,
6702|*|gene_2427964|GeneMark.hmm|997_aa|+|3361|6354,482,4311,0.111807005,Unknown,
9329|*|gene_1932060|GeneMark.hmm|895_aa|-|8644|11331,2,18,0.111111111,Unknown,
14364|*|gene_40931|GeneMark.hmm|777_aa|-|25703|28036,26,237,0.109704641,ATP-binding protein,
2464|*|gene_16946|GeneMark.hmm|1298_aa|+|8514|12410,11,103,0.106796117,Unknown,
14661|*|gene_610232|GeneMark.hmm|773_aa|+|25790|28111,9341,88329,0.105752358,histidine kinase,
2246|*|gene_44491|GeneMark.hmm|1327_aa|+|11662|15645,5000,47546,0.105161317,ATP-binding protein,
1516|*|gene_3154278|GeneMark.hmm|1438_aa|-|16587|20903,55,525,0.104761905,tetratricopeptide repeat protein,
13524|*|gene_2471345|GeneMark.hmm|795_aa|+|112|2499,23,220,0.104545455,Unknown,
3034|*|gene_2382868|GeneMark.hmm|1227_aa|+|2|3685,70,670,0.104477612,Cas13a,
15730|*|gene_3078798|GeneMark.hmm|753_aa|-|27749|30010,95,911,0.10428101,phage minor tail protein (Unknown),
769|*|gene_35785|GeneMark.hmm|1707_aa|+|24616|29739,20,193,0.103626943,Unknown,
15484|*|gene_4881800|GeneMark.hmm|758_aa|-|15017|17293,9129,89338,0.10218496,response regulator,
9567|*|gene_732170|GeneMark.hmm|888_aa|+|34554|37220,9117,89265,0.102134095,histidine kinase,
7329|*|gene_4499|GeneMark.hmm|966_aa|+|179179|182079,15,149,0.100671141,VWA-domain containing protein,
14520|*|gene_3291498|GeneMark.hmm|775_aa|+|6971|9298,149,1504,0.099069149,serine/threonine protein kinase,
8845|*|gene_2832443|GeneMark.hmm|910_aa|-|64198|66930,789,7967,0.099033513,Centromere protein,
547|*|gene_18741|GeneMark.hmm|1854_aa|+|11948|17512,4,41,0.097560976,tetratricopeptide repeat protein,
15559|*|gene_2880515|GeneMark.hmm|757_aa|+|46164|48437,338,3474,0.097294185,Unknown,
5627|*|gene_4016422|GeneMark.hmm|1046_aa|-|6239|9379,9049,93372,0.096913422,response regulator,
1559|*|gene_4115362|GeneMark.hmm|1428_aa|+|20218|24504,5,52,0.096153846,Unknown,
6129|*|gene_3122793|GeneMark.hmm|1024_aa|-|12410|15484,8994,93867,0.095816421,response regulator,
10657|*|gene_40940|GeneMark.hmm|856_aa|-|36000|38570,34,356,0.095505618,Ala/Glu-rich protein,
2539|*|gene_3646186|GeneMark.hmm|1291_aa|+|159|4034,149,1563,0.095329495,Ig domain protein,
3280|*|gene_293388|GeneMark.hmm|1205_aa|+|2|3619,8795,92846,0.094726752,hybrid sensor histidine kinase/response regulator,
9007|*|gene_1862359|GeneMark.hmm|905_aa|-|12052|14769,8438,89591,0.094183568,response regulator,
2716|*|gene_740438|GeneMark.hmm|1265_aa|+|28532|32329,8638,92871,0.093010735,response regulator,
14968|*|gene_45260|GeneMark.hmm|766_aa|-|12862|15162,13,140,0.092857143,HEAT repeat containing protein,
12600|*|gene_15609|GeneMark.hmm|812_aa|-|44755|47193,5001,54828,0.091212519,hydrolase,
6529|*|gene_4877117|GeneMark.hmm|1005_aa|-|49357|52374,7434,81798,0.090882418,Unknown,
4586|*|gene_4505303|GeneMark.hmm|1104_aa|-|128|3442,9354,103423,0.090444099,response regulator,
4682|*|gene_4150140|GeneMark.hmm|1098_aa|+|14397|17693,9103,100755,0.090347874,HEAT repeat containing protein,
6432|*|gene_801928|GeneMark.hmm|1009_aa|+|36129|39158,6,67,0.089552239,VWA-domain containing protein,
7201|*|gene_3551662|GeneMark.hmm|973_aa|+|3|2924,195,2178,0.08953168,C-term sorting domain protein,
1453|*|gene_48972|GeneMark.hmm|1452_aa|-|8605|12963,18,206,0.087378641,Unknown,
4519|*|gene_1493345|GeneMark.hmm|1108_aa|-|9482|12808,8878,101669,0.087322586,PAS domain S-box protein,
